"ward","total_admissions","cash_admissions","insured_admissions","other_admissions","insured_pct"
"Grade 2","52","5","46","1","88.5"
"Grade 1","26","7","17","2","65.4"
"Paediatric","142","109","33","0","23.2"
"Female Medical","66","53","12","1","18.2"
"Female Surg, Ortho & Gyn","102","80","18","4","17.6"
"Labour","236","198","36","2","15.3"
"ICU","8","7","1","0","12.5"
"Male Medical","61","54","6","1","9.8"
"Male Surg & Orthopedic","64","59","5","0","7.8"
"Neonatal","132","131","1","0","0.8"
"Psychiatrist","16","16","0","0","0.0"
